WIDTH: 500
[0] - X: -1.000000, Y: -0.660000
[1] - X: -1.000000, Y: -0.657360
[2] - X: -1.000000, Y: -0.654720
[3] - X: -1.000000, Y: -0.652080
[4] - X: -1.000000, Y: -0.649440
[5] - X: -1.000000, Y: -0.646800
[6] - X: -1.000000, Y: -0.644160
[7] - X: -1.000000, Y: -0.641520
[8] - X: -1.000000, Y: -0.638880
[9] - X: -1.000000, Y: -0.636240
[10] - X: -1.000000, Y: -0.633600
[11] - X: -1.000000, Y: -0.630960
[12] - X: -1.000000, Y: -0.628320
[13] - X: -1.000000, Y: -0.625680
[14] - X: -1.000000, Y: -0.623040
[15] - X: -1.000000, Y: -0.620400
[16] - X: -1.000000, Y: -0.617760
[17] - X: -1.000000, Y: -0.615120
[18] - X: -1.000000, Y: -0.612480
[19] - X: -1.000000, Y: -0.609840
[20] - X: -1.000000, Y: -0.607200
[21] - X: -1.000000, Y: -0.604560
[22] - X: -1.000000, Y: -0.601920
[23] - X: -1.000000, Y: -0.599280
[24] - X: -1.000000, Y: -0.596640
[25] - X: -1.000000, Y: -0.594000
[26] - X: -1.000000, Y: -0.591360
[27] - X: -1.000000, Y: -0.588720
[28] - X: -1.000000, Y: -0.586080
[29] - X: -1.000000, Y: -0.583440
[30] - X: -1.000000, Y: -0.580800
[31] - X: -1.000000, Y: -0.578160
[32] - X: -1.000000, Y: -0.575520
[33] - X: -1.000000, Y: -0.572880
[34] - X: -1.000000, Y: -0.570240
[35] - X: -1.000000, Y: -0.567600
[36] - X: -1.000000, Y: -0.564960
[37] - X: -1.000000, Y: -0.562320
[38] - X: -1.000000, Y: -0.559680
[39] - X: -1.000000, Y: -0.557040
[40] - X: -1.000000, Y: -0.554400
[41] - X: -1.000000, Y: -0.551760
[42] - X: -1.000000, Y: -0.549120
[43] - X: -1.000000, Y: -0.546480
[44] - X: -1.000000, Y: -0.543840
[45] - X: -1.000000, Y: -0.541200
[46] - X: -1.000000, Y: -0.538560
[47] - X: -1.000000, Y: -0.535920
[48] - X: -1.000000, Y: -0.533280
[49] - X: -1.000000, Y: -0.530640
[50] - X: -1.000000, Y: -0.528000
[51] - X: -1.000000, Y: -0.525360
[52] - X: -1.000000, Y: -0.522720
[53] - X: -1.000000, Y: -0.520080
[54] - X: -1.000000, Y: -0.517440
[55] - X: -1.000000, Y: -0.514800
[56] - X: -1.000000, Y: -0.512160
[57] - X: -1.000000, Y: -0.509520
[58] - X: -1.000000, Y: -0.506880
[59] - X: -1.000000, Y: -0.504240
[60] - X: -1.000000, Y: -0.501600
[61] - X: -1.000000, Y: -0.498960
[62] - X: -1.000000, Y: -0.496320
[63] - X: -1.000000, Y: -0.493680
[64] - X: -1.000000, Y: -0.491040
[65] - X: -1.000000, Y: -0.488400
[66] - X: -1.000000, Y: -0.485760
[67] - X: -1.000000, Y: -0.483120
[68] - X: -1.000000, Y: -0.480480
[69] - X: -1.000000, Y: -0.477840
